Test File,Rules,Lits,Run,Report,Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
sudoku_9x9.in,648,5832,2,cuda_gpu_kern_sum,52.6,35200,10,3520.0,3504.0,3008,4096,285.4,"void deduce_kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *)"
sudoku_9x9.in,648,5832,2,cuda_gpu_kern_sum,43.2,28896,9,3210.7,2816.0,2720,6368,1186.4,"update_sums_kernel(const int *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *)"
sudoku_9x9.in,648,5832,2,cuda_gpu_kern_sum,4.2,2816,1,2816.0,2816.0,2816,2816,0.0,"void init_sums_kernel<(int)16>(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_9x9.in,648,5832,3,wall,100.0,487983770,1,,,,,,total
sudoku_9x9.in,648,5832,3,nvtx_pushpop_sum,92.8,764173,1,764173.0,764173.0,764173,764173,0.0,:fixpoint
sudoku_9x9.in,648,5832,3,nvtx_pushpop_sum,7.2,58963,1,58963.0,58963.0,58963,58963,0.0,:build_reverse_tables
sudoku_9x9.in,648,5832,3,nvtx_sum,92.8,764173,1,764173.0,764173.0,764173,764173,0.0,PushPop,:fixpoint
sudoku_9x9.in,648,5832,3,nvtx_sum,7.2,58963,1,58963.0,58963.0,58963,58963,0.0,PushPop,:build_reverse_tables
sudoku_9x9.in,648,5832,3,cuda_gpu_kern_sum,52.7,34912,10,3491.2,3488.0,3008,4064,273.0,"void deduce_kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *)"
sudoku_9x9.in,648,5832,3,cuda_gpu_kern_sum,43.2,28576,9,3175.1,2752.0,2720,6336,1187.2,"update_sums_kernel(const int *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *)"
sudoku_9x9.in,648,5832,3,cuda_gpu_kern_sum,4.1,2720,1,2720.0,2720.0,2720,2720,0.0,"void init_sums_kernel<(int)16>(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
synth_L008_r000500.in,500,4000,1,wall,100.0,429235765,1,,,,,,total
synth_L008_r000500.in,500,4000,1,nvtx_pushpop_sum,91.6,550523,1,550523.0,550523.0,550523,550523,0.0,:fixpoint
synth_L008_r000500.in,500,4000,1,nvtx_pushpop_sum,8.4,50245,1,50245.0,50245.0,50245,50245,0.0,:build_reverse_tables
synth_L008_r000500.in,500,4000,1,nvtx_sum,91.6,550523,1,550523.0,550523.0,550523,550523,0.0,PushPop,:fixpoint
synth_L008_r000500.in,500,4000,1,nvtx_sum,8.4,50245,1,50245.0,50245.0,50245,50245,0.0,PushPop,:build_reverse_tables
synth_L008_r000500.in,500,4000,1,cuda_gpu_kern_sum,48.8,16064,5,3212.8,3168.0,2816,3648,305.8,"void deduce_kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *)"
synth_L008_r000500.in,500,4000,1,cuda_gpu_kern_sum,43.1,14176,4,3544.0,3824.0,2496,4032,706.6,"update_sums_kernel(const int *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *)"
synth_L008_r000500.in,500,4000,1,cuda_gpu_kern_sum,8.1,2656,1,2656.0,2656.0,2656,2656,0.0,"void init_sums_kernel<(int)16>(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
synth_L008_r000500.in,500,4000,2,wall,100.0,510972930,1,,,,,,total
synth_L008_r000500.in,500,4000,2,nvtx_pushpop_sum,91.0,564455,1,564455.0,564455.0,564455,564455,0.0,:fixpoint
synth_L008_r000500.in,500,4000,2,nvtx_pushpop_sum,9.0,55529,1,55529.0,55529.0,55529,55529,0.0,:build_reverse_tables
synth_L008_r000500.in,500,4000,2,nvtx_sum,91.0,564455,1,564455.0,564455.0,564455,564455,0.0,PushPop,:fixpoint
