Test File,Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
sudoku_9x9_5.in,0.0,15818,4,3954.5,2484.0,2469,8381,2951.0,cudaMemset
sudoku_9x9_5.in,0.0,4116,1,4116.0,4116.0,4116,4116,0.0,cuModuleGetLoadingMode
sudoku_9x9_5.in,0.0,990,2,495.0,495.0,385,605,155.6,cuLibraryGetKernel
sudoku_9x9_5.in,0.0,523,1,523.0,523.0,523,523,0.0,cuKernelGetName
sudoku_9x9_6.in,94.7,49024,1,49024.0,49024.0,49024,49024,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *, int *, int *, int *)"
sudoku_9x9_6.in,5.3,2752,1,2752.0,2752.0,2752,2752,0.0,"void init_sums_kernel<(int)16>(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_9x9_6.in,0.136,12,0.011,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_6.in,0.003,2,0.001,0.001,0.000,0.003,0.002,[CUDA memcpy Device-to-Host]
sudoku_9x9_6.in,0.000,4,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_6.in,99.5,159597913,21,7599900.6,2721.0,2070,159534864,34812673.5,cudaMalloc
sudoku_9x9_6.in,0.1,210590,1,210590.0,210590.0,210590,210590,0.0,cudaLaunchKernel
sudoku_9x9_6.in,0.1,160605,1,160605.0,160605.0,160605,160605,0.0,cudaLaunchCooperativeKernel
sudoku_9x9_6.in,0.1,151822,21,7229.6,2346.0,1825,100288,21361.7,cudaFree
sudoku_9x9_6.in,0.1,150638,14,10759.9,9557.5,3603,29653,8135.2,cudaMemcpy
sudoku_9x9_6.in,0.0,66736,1,66736.0,66736.0,66736,66736,0.0,cuLibraryLoadData
sudoku_9x9_6.in,0.0,60480,2,30240.0,30240.0,9877,50603,28797.6,cudaDeviceSynchronize
sudoku_9x9_6.in,0.0,15013,4,3753.3,2557.0,2364,7535,2523.3,cudaMemset
sudoku_9x9_6.in,0.0,4382,1,4382.0,4382.0,4382,4382,0.0,cuModuleGetLoadingMode
sudoku_9x9_6.in,0.0,851,2,425.5,425.5,350,501,106.8,cuLibraryGetKernel
sudoku_9x9_6.in,0.0,524,1,524.0,524.0,524,524,0.0,cuKernelGetName
sudoku_9x9_7.in,95.9,64416,1,64416.0,64416.0,64416,64416,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *, int *, int *, int *)"
sudoku_9x9_7.in,4.1,2752,1,2752.0,2752.0,2752,2752,0.0,"void init_sums_kernel<(int)16>(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_9x9_7.in,0.136,12,0.011,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_7.in,0.003,2,0.001,0.001,0.000,0.003,0.002,[CUDA memcpy Device-to-Host]
sudoku_9x9_7.in,0.000,4,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_7.in,99.5,160537352,21,7644635.8,2576.0,2114,160474704,35017767.8,cudaMalloc
sudoku_9x9_7.in,0.1,225370,1,225370.0,225370.0,225370,225370,0.0,cudaLaunchKernel
sudoku_9x9_7.in,0.1,161270,1,161270.0,161270.0,161270,161270,0.0,cudaLaunchCooperativeKernel
sudoku_9x9_7.in,0.1,153246,21,7297.4,2323.0,1674,102949,21954.9,cudaFree
sudoku_9x9_7.in,0.1,150930,14,10780.7,9547.0,3749,29233,8052.5,cudaMemcpy
sudoku_9x9_7.in,0.0,76775,2,38387.5,38387.5,11377,65398,38198.6,cudaDeviceSynchronize
sudoku_9x9_7.in,0.0,66983,1,66983.0,66983.0,66983,66983,0.0,cuLibraryLoadData
sudoku_9x9_7.in,0.0,15707,4,3926.8,2613.5,2322,8158,2824.8,cudaMemset
sudoku_9x9_7.in,0.0,4208,1,4208.0,4208.0,4208,4208,0.0,cuModuleGetLoadingMode
sudoku_9x9_7.in,0.0,835,2,417.5,417.5,364,471,75.7,cuLibraryGetKernel
sudoku_9x9_7.in,0.0,504,1,504.0,504.0,504,504,0.0,cuKernelGetName
sudoku_9x9_8.in,95.8,63455,1,63455.0,63455.0,63455,63455,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *, int *, int *, int *)"
sudoku_9x9_8.in,4.2,2816,1,2816.0,2816.0,2816,2816,0.0,"void init_sums_kernel<(int)16>(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_9x9_8.in,0.136,12,0.011,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_8.in,0.003,2,0.001,0.001,0.000,0.003,0.002,[CUDA memcpy Device-to-Host]
sudoku_9x9_8.in,0.000,4,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_8.in,99.5,166603036,21,7933477.9,2819.0,2086,166540656,36341470.0,cudaMalloc
sudoku_9x9_8.in,0.1,222557,1,222557.0,222557.0,222557,222557,0.0,cudaLaunchKernel
sudoku_9x9_8.in,0.1,164464,14,11747.4,10682.5,3822,29262,8564.3,cudaMemcpy
sudoku_9x9_8.in,0.1,163490,1,163490.0,163490.0,163490,163490,0.0,cudaLaunchCooperativeKernel
sudoku_9x9_8.in,0.1,152219,21,7248.5,2231.0,1643,103254,22027.5,cudaFree
sudoku_9x9_8.in,0.0,75568,2,37784.0,37784.0,10895,64673,38026.8,cudaDeviceSynchronize
sudoku_9x9_8.in,0.0,63952,1,63952.0,63952.0,63952,63952,0.0,cuLibraryLoadData
sudoku_9x9_8.in,0.0,15249,4,3812.3,2532.0,2432,7753,2627.6,cudaMemset
sudoku_9x9_8.in,0.0,4050,1,4050.0,4050.0,4050,4050,0.0,cuModuleGetLoadingMode
sudoku_9x9_8.in,0.0,924,2,462.0,462.0,413,511,69.3,cuLibraryGetKernel
sudoku_9x9_8.in,0.0,520,1,520.0,520.0,520,520,0.0,cuKernelGetName
