Test File,Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
sudoku_9x9_6.in,0.1,201099,19,10584.2,8841.0,4416,27990,6259.6,cudaMemcpy
sudoku_9x9_6.in,0.1,120035,8,15004.4,2513.5,1968,99424,34136.6,cudaFree
sudoku_9x9_6.in,0.0,48659,1,48659.0,48659.0,48659,48659,0.0,cuLibraryLoadData
sudoku_9x9_6.in,0.0,45865,6,7644.2,6007.0,5529,12390,2884.5,cudaDeviceSynchronize
sudoku_9x9_6.in,0.0,25378,7,3625.4,2716.0,2554,7954,1991.7,cudaMemset
sudoku_9x9_6.in,0.0,3675,1,3675.0,3675.0,3675,3675,0.0,cuModuleGetLoadingMode
sudoku_9x9_6.in,0.0,1337,6,222.8,110.5,98,566,195.8,cuKernelGetName
sudoku_9x9_6.in,0.0,399,1,399.0,399.0,399,399,0.0,cuLibraryGetKernel
sudoku_9x9_7.in,100.0,29792,8,3724.0,3680.0,3520,4160,195.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9_7.in,0.057,6,0.010,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_7.in,0.003,17,0.000,0.000,0.000,0.003,0.001,[CUDA memcpy Device-to-Host]
sudoku_9x9_7.in,0.000,9,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_7.in,99.6,160885801,8,20110725.1,3524.5,2552,160861705,56871984.2,cudaMalloc
sudoku_9x9_7.in,0.1,230407,23,10017.7,8625.0,4159,27415,5678.1,cudaMemcpy
sudoku_9x9_7.in,0.1,217971,8,27246.4,4354.5,4042,184300,63466.3,cudaLaunchKernel
sudoku_9x9_7.in,0.1,115881,8,14485.1,2482.5,1964,95086,32595.4,cudaFree
sudoku_9x9_7.in,0.0,49911,8,6238.9,5759.5,5520,9874,1476.3,cudaDeviceSynchronize
sudoku_9x9_7.in,0.0,45433,1,45433.0,45433.0,45433,45433,0.0,cuLibraryLoadData
sudoku_9x9_7.in,0.0,29524,9,3280.4,2618.0,2452,7724,1712.3,cudaMemset
sudoku_9x9_7.in,0.0,3684,1,3684.0,3684.0,3684,3684,0.0,cuModuleGetLoadingMode
sudoku_9x9_7.in,0.0,1400,8,175.0,104.5,101,521,149.1,cuKernelGetName
sudoku_9x9_7.in,0.0,404,1,404.0,404.0,404,404,0.0,cuLibraryGetKernel
sudoku_9x9_8.in,100.0,29888,8,3736.0,3712.0,3520,4192,217.5,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9_8.in,0.057,6,0.010,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
