Test File,Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
sudoku_9x9_7.in,0.1,99553,6,16592.2,4350.5,3738,77025,29617.2,cudaLaunchKernel
sudoku_9x9_7.in,0.0,72924,6,12154.0,12553.5,10052,12644,1031.2,cudaDeviceSynchronize
sudoku_9x9_7.in,0.0,50235,1,50235.0,50235.0,50235,50235,0.0,cuLibraryLoadData
sudoku_9x9_7.in,0.0,24666,7,3523.7,2696.0,2455,7444,1785.2,cudaMemset
sudoku_9x9_7.in,0.0,4306,1,4306.0,4306.0,4306,4306,0.0,cuModuleGetLoadingMode
sudoku_9x9_7.in,0.0,1206,6,201.0,131.5,115,464,138.5,cuKernelGetName
sudoku_9x9_7.in,0.0,736,1,736.0,736.0,736,736,0.0,cuLibraryGetKernel
sudoku_9x9_8.in,100.0,63072,6,10512.0,10512.0,10336,10720,139.9,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9_8.in,0.057,6,0.010,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_8.in,0.003,13,0.000,0.000,0.000,0.003,0.001,[CUDA memcpy Device-to-Host]
sudoku_9x9_8.in,0.000,7,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_8.in,99.6,162220288,8,20277536.0,3498.0,2765,162192680,57342377.6,cudaMalloc
sudoku_9x9_8.in,0.1,211578,19,11135.7,8784.0,4412,30948,6831.4,cudaMemcpy
sudoku_9x9_8.in,0.1,125556,8,15694.5,2478.5,2004,104979,36098.0,cudaFree
sudoku_9x9_8.in,0.1,103749,6,17291.5,4331.5,3740,79742,30633.5,cudaLaunchKernel
sudoku_9x9_8.in,0.0,72905,6,12150.8,12544.5,9851,12739,1130.8,cudaDeviceSynchronize
sudoku_9x9_8.in,0.0,49794,1,49794.0,49794.0,49794,49794,0.0,cuLibraryLoadData
sudoku_9x9_8.in,0.0,25753,7,3679.0,2863.0,2564,7732,1840.4,cudaMemset
sudoku_9x9_8.in,0.0,3657,1,3657.0,3657.0,3657,3657,0.0,cuModuleGetLoadingMode
sudoku_9x9_8.in,0.0,1430,6,238.3,115.5,103,722,245.3,cuKernelGetName
sudoku_9x9_8.in,0.0,288,1,288.0,288.0,288,288,0.0,cuLibraryGetKernel
