Test File,Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
sudoku_9x9_4.in,51.3,25248,7,3606.9,3584.0,3040,4192,360.0,"void deduce_kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *)"
sudoku_9x9_4.in,43.0,21184,6,3530.7,3040.0,2816,6304,1366.3,"update_sums_kernel(const int *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *)"
sudoku_9x9_4.in,5.7,2784,1,2784.0,2784.0,2784,2784,0.0,"void init_sums_kernel<(int)16>(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_9x9_4.in,0.136,12,0.011,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_4.in,0.003,15,0.000,0.000,0.000,0.003,0.001,[CUDA memcpy Device-to-Host]
sudoku_9x9_4.in,0.000,8,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_4.in,99.5,163686620,19,8615085.3,2756.0,1998,163631988,37539056.3,cudaMalloc
sudoku_9x9_4.in,0.2,292548,14,20896.3,3968.0,3267,212301,55359.1,cudaLaunchKernel
sudoku_9x9_4.in,0.2,276174,27,10228.7,8741.0,3706,30254,6122.6,cudaMemcpy
sudoku_9x9_4.in,0.1,142184,19,7483.4,2069.0,1706,98687,22113.2,cudaFree
sudoku_9x9_4.in,0.1,85553,14,6110.9,5840.5,4852,10003,1444.6,cudaDeviceSynchronize
sudoku_9x9_4.in,0.0,73387,1,73387.0,73387.0,73387,73387,0.0,cuLibraryLoadData
sudoku_9x9_4.in,0.0,27941,8,3492.6,2742.0,2538,7112,1599.6,cudaMemset
sudoku_9x9_4.in,0.0,3735,1,3735.0,3735.0,3735,3735,0.0,cuModuleGetLoadingMode
sudoku_9x9_4.in,0.0,2128,14,152.0,108.5,87,510,127.7,cuKernelGetName
sudoku_9x9_4.in,0.0,942,3,314.0,314.0,250,378,64.0,cuLibraryGetKernel
sudoku_9x9_5.in,100.0,60806,1,60806.0,60806.0,60806,60806,0.0,PushPop,:build_reverse_tables
sudoku_9x9_5.in,52.7,42464,12,3538.7,3584.0,3040,4128,260.5,"void deduce_kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *)"
